,Library ID,Library Name,"E-Library (e-books, audiobooks, digital magazines)",Celia Network Customer Registration,Microfilm/Microcard Readers (Scanning and Printing),Printer (Color),Digital Support,Loanable Sports Equipment,Music Room,E-Newspaper Tablet,Document Disposal,Outdoor Games,Quiet Working Space,Grill,Photo and Video Studio,3D Printers,Espoo City Service Point,Cove,Promentor Language Courses,Citizen Balcony,Rainbow Shelf,E-Newspaper Reading Devices,Ukulele,Loanable Korkeasaari Season Ticket,Helmet Book Storage,Hiking Backpack,Games,Cordless Drill/Screwdriver,Roman Garden,Overlock Sewing Machines,Image Digitization,Return Slot,Exhibition Space,Stroller Parking,Dogs Prohibited,Sewing Machines,Tools,Defibrillator,ToPo Season Tickets,Band and Vocal Studio,Editing Studio,Fitness Equipment,Digitization Device,School or Daycare Collaboration,USB Flash Drives,Open on Saturdays,Exhibition Display Case
24,84863, Kontulan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,84750, Kontulan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,84751, Kustaankartanon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,84793, Laajalahden,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,84848, Laajasalon,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,84794, Laaksolahden,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,84875, Länsimäen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,84864, Lauttasaaren,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
32,86685, Lippulaivan,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,84874, Lumon,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
