,id,name,address,postal_code,services
34,84859, Malmin,"Ala-Malmin tori 1, 00700 Helsinki",700,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'E-Newspaper Tablet', 'Rainbow Shelf', 'Exhibition Space', 'Dogs Prohibited', 'Open on Saturdays']"
35,84859, Malmin,"Ala-Malmin tori 1, 00700 Helsinki",700,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Digital Support', 'Outdoor Games', 'Grill', 'Rainbow Shelf', 'Open on Saturdays']"
36,84866, Malminkartanon,"Puustellintie 6, 00410 Helsinki",410,[]
37,84876, Martinlaakson,"Laajaniityntie 3, 01620 Vantaa",1620,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Outdoor Games', 'Rainbow Shelf', 'Open on Saturdays']"
38,84857, Maunulan,"Metsäpurontie 4, 00630 Helsinki",630,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Rainbow Shelf', 'Ukulele', 'Defibrillator', 'Open on Saturdays']"
39,84791, Kirjastoauto,"Kulttuuriaukio 2, 02100 Espoo",2100,"['E-Library (e-books, audiobooks, digital magazines)']"
40,84791, Kirjastoauto,"Kulttuuriaukio 2, 02100 Espoo",2100,"['E-Library (e-books, audiobooks, digital magazines)']"
41,84791, Kirjastoauto,"Kulttuuriaukio 2, 02100 Espoo",2100,"['E-Library (e-books, audiobooks, digital magazines)', 'Outdoor Games']"
42,84884, Kirjastoauto,"Rautatieläisenkatu 8, 00520 Helsinki",520,"['E-Library (e-books, audiobooks, digital magazines)']"
43,84884, Kirjastoauto,"Rautatieläisenkatu 8, 00520 Helsinki",520,"['E-Library (e-books, audiobooks, digital magazines)']"
44,84884, Kirjastoauto,"Rautatieläisenkatu 8, 00520 Helsinki",520,"['E-Library (e-books, audiobooks, digital magazines)', 'Outdoor Games']"
45,84926, Kirjastoauto,"Lummetie 4, 01300 Vantaa",1300,"['E-Library (e-books, audiobooks, digital magazines)']"
46,84926, Kirjastoauto,"Lummetie 4, 01300 Vantaa",1300,"['E-Library (e-books, audiobooks, digital magazines)']"
47,84926, Kirjastoauto,"Lummetie 4, 01300 Vantaa",1300,"['E-Library (e-books, audiobooks, digital magazines)', 'Outdoor Games']"
48,86659, Mosaiikin,"Vantaankoskentie 69, 01700 Vantaa",1700,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', '3D Printers', 'Rainbow Shelf', 'Overlock Sewing Machines', 'Exhibition Space', 'Sewing Machines', 'Open on Saturdays']"
49,84923, Monikielinen,"Kellosilta 9, 00520 Helsinki",520,"['E-Library (e-books, audiobooks, digital magazines)']"
50,84867, Munkkiniemen,"Riihitie 22, 00330 Helsinki",330,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Digital Support', 'Rainbow Shelf', 'Return Slot', 'ToPo Season Tickets', 'School or Daycare Collaboration', 'Open on Saturdays', 'Exhibition Display Case']"
51,84883, Myllypuron,"Kiviparintie 2, 00920 Helsinki",920,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Music Room', 'E-Newspaper Reading Devices', 'Exhibition Space', 'Stroller Parking', 'Open on Saturdays']"
52,84883, Myllypuron,"Kiviparintie 2, 00920 Helsinki",920,"['E-Library (e-books, audiobooks, digital magazines)']"
53,84755, Myllypuron,"Myllymatkantie 4, 00920 Helsinki",920,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Music Room', 'E-Newspaper Reading Devices', 'Exhibition Space', 'Stroller Parking', 'Open on Saturdays']"
54,84755, Myllypuron,"Myllymatkantie 4, 00920 Helsinki",920,"['E-Library (e-books, audiobooks, digital magazines)']"
55,84920, Myyrmäen,"Paalutori 3, 01600 Vantaa",1600,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Dogs Prohibited', 'Open on Saturdays']"
56,84915, Nöykkiön,"Oxfotintie 4, 02330 Espoo",2330,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Digital Support', 'Return Slot', 'Open on Saturdays']"
57,86654, Otaniemen,"Tietotie 6, 02150 Espoo",2150,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Open on Saturdays']"
58,84862, Oulunkylän,"Kylänvanhimmantie 27, 00640 Helsinki",640,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', '3D Printers', 'Rainbow Shelf', 'Ukulele', 'Exhibition Space', 'Open on Saturdays']"
59,84877, Pähkinärinteen,"Mantelikuja 4, 01710 Vantaa",1710,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Rainbow Shelf']"
60,84852, Paloheinän,"Paloheinäntie 22, 00670 Helsinki",670,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Quiet Working Space', 'Rainbow Shelf', 'Exhibition Space', 'Dogs Prohibited', 'Defibrillator', 'Open on Saturdays']"
61,84924, Pasilan,"Kellosilta 9, 00520 Helsinki",520,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Microfilm/Microcard Readers (Scanning and Printing)', 'Printer (Color)', 'Digital Support', 'Rainbow Shelf', 'Ukulele', 'Helmet Book Storage', 'Exhibition Space', 'Dogs Prohibited', 'Defibrillator', 'Open on Saturdays']"
62,84855, Pikku Huopalahden,"Tilkankatu 19, 00300 Helsinki",300,"['E-Library (e-books, audiobooks, digital magazines)']"
63,84865, Pitäjänmäen,"Jousipolku 1, 00370 Helsinki",370,"['E-Library (e-books, audiobooks, digital magazines)', 'Printer (Color)', 'Digital Support', 'Rainbow Shelf', 'Exhibition Space', 'Open on Saturdays']"
